Ano;Russia;Ucrania
2007;90;0
2008;0;0
2009;8;0
2010;25;0
2011;10;0
2012;121;0
2013;184;0
2014;207;1
2015;113;22
2016;127;5
2017;93;4
2018;62;70
2019;5;23
2020;1;18
2021;6;39
2022;129;2644
