País;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Rússia;90000000;0;8000000;25000000;10000000;121000000;184000000;207000000;113000000;127000000;93000000;62000000;5000000;1000000;6000000;129000000
Ucrânia;0;0;0;0;0;0;0;1000000;22000000;5000000;4000000;70000000;23000000;18000000;39000000;2644000000
